parent_area, processing_area, node_id, coc, vendor, qos, goodstype, flow, sellerLocationId, externalization, destinationHubId, mappedHubId, destinationTag, bagClosingTag, bagServiceType, fbeBin, bagLabelText
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/ATR,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BIR,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/ROH,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,APG/MDH,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/ATR,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/ATR,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/RJI,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/BNK,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/GON,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/BNK,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/BNK,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BKJ,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/NWD,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,APG/MDH,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/KDJ,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BCH,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BIR,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,DUG/MDH,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/GON,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,APG/MDH,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/KDJ,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,RJL/FAT,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BKJ,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,RJL/FAT,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,BLR/JHD,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/KDJ,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BCH,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/GON,E,,D,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,DUG/MDH,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,IXR/KDJ,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,PAT/GON,E,,,R,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/BKJ,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,RJL/FAT,E,E,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation4,Bin19,bdf6f28d-c768-4788-971f-637921f3562a,GAY/GAS,E,R,S,F,,,311154.0,314338.0,1687,ERACRAC,ECONOMY,false,
VStation1,Bin16,e3f73061-2c64-40bd-b088-d96c874271f8,CCU/HNV,E,,D,F,,,71274.0,71274.0,,ECCUHNV,ECONOMY,false,
VStation1,Bin16,e3f73061-2c64-40bd-b088-d96c874271f8,CCU/HNV,E,R,S,F,,,71274.0,71274.0,,ECCUHNV,ECONOMY,false,
VStation1,Bin16,e3f73061-2c64-40bd-b088-d96c874271f8,CCU/HNV,E,E,S,F,,,71274.0,71274.0,,ECCUHNV,ECONOMY,false,
VStation1,Bin16,e3f73061-2c64-40bd-b088-d96c874271f8,CCU/HNV,E,,,R,,,71274.0,71274.0,,ECCUHNV,ECONOMY,false,
VStation4,Bin5,300e2b18-87e3-45ef-b140-1631469c1d8a,CCU/DHG,E,,D,F,,,101706.0,101706.0,,ECCUDHG,ECONOMY,false,
VStation4,Bin5,300e2b18-87e3-45ef-b140-1631469c1d8a,CCU/DHG,E,,,R,,,101706.0,101706.0,,ECCUDHG,ECONOMY,false,
VStation4,Bin5,300e2b18-87e3-45ef-b140-1631469c1d8a,CCU/DHG,E,E,S,F,,,101706.0,101706.0,,ECCUDHG,ECONOMY,false,
VStation4,Bin5,300e2b18-87e3-45ef-b140-1631469c1d8a,CCU/DHG,E,R,S,F,,,101706.0,101706.0,,ECCUDHG,ECONOMY,false,
VStation12,BIN44,f77b5a33-3ccf-4349-9d3a-9ec1387fff60,DEL/CTR,E,,,R,,,2041.0,2041.0,,EDELCTR,ECONOMY,false,
VStation12,BIN48,c2f4c360-a5d5-4278-bcb0-d9f317cf1ea0,DEL/VKM,E,,,R,,,56032.0,56032.0,,EDELVKM,ECONOMY,false,
VStation13,BIN44,46c973f1-99f0-4623-b9b1-7bc27544266a,DEL/SGM,E,,,R,,,192599.0,192599.0,,EDELSGM,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SKR,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MGD,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MGD,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/WRL,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/AYD,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SKR,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/BGM,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KKP,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KKP,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/BGJ,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SAN,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MNA,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/GYD,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/TKS,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KRD,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MYD,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/NZM,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/AYD,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/NZM,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SYH,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KRD,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KDH,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/TKS,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KDH,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MYD,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SYH,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/JBL,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KUK,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/JBL,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/JBL,E,R,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KUK,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/SAN,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MNA,E,,D,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/POC,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/NSI,E,E,S,F,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/KDH,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
VStation13,BIN38,2fa46be2-c279-4e82-8c98-4c5be2ab27fc,HYD/MYD,E,,,R,,,55830.0,70538.0,1325,EHYDHYP,ECONOMY,false,
